shipment_id,route_id,vehicle_id,planned_departure,actual_departure,planned_arrival,actual_arrival,fuel_used_litres,delay_minutes
1,R038,V001,2023-01-01 14:00:00,2023-01-01 13:50:00,2023-01-01 17:19:00,2023-01-01 17:19:00,96.47705059251538,0
2,R026,V014,2023-01-01 07:00:00,2023-01-01 07:01:00,2023-01-01 16:34:00,2023-01-01 16:46:00,80.51240885484599,12
3,R044,V006,2023-01-01 01:00:00,2023-01-01 01:17:00,2023-01-01 06:24:00,2023-01-01 06:45:00,23.456399542080582,21
4,R019,V010,2023-01-01 09:00:00,2023-01-01 09:23:00,2023-01-01 11:19:00,2023-01-01 12:16:00,54.42458520009604,57
5,R021,V033,2023-01-01 00:00:00,2023-01-01 00:09:00,2023-01-01 05:35:00,2023-01-01 06:01:00,92.77448479519414,26
6,R031,V040,2023-01-01 10:00:00,2023-01-01 10:25:00,2023-01-01 14:39:00,2023-01-01 15:05:00,35.12125459996054,26
7,R012,V050,2023-01-01 12:00:00,2023-01-01 11:53:00,2023-01-01 21:38:00,2023-01-01 22:28:00,11.248973312960484,50
8,R050,V040,2023-01-01 02:00:00,2023-01-01 02:26:00,2023-01-01 04:02:00,2023-01-01 04:15:00,66.9994290255035,13
9,R033,V047,2023-01-01 14:00:00,2023-01-01 13:57:00,2023-01-01 22:02:00,2023-01-01 22:45:00,7.636070716980448,43
10,R001,V048,2023-01-01 18:00:00,2023-01-01 18:15:00,2023-01-01 23:16:00,2023-01-01 23:36:00,79.21057898116995,20
11,R033,V014,2023-01-01 10:00:00,2023-01-01 10:14:00,2023-01-01 18:02:00,2023-01-01 18:44:00,8.132985965013656,42
12,R029,V011,2023-01-01 13:00:00,2023-01-01 13:29:00,2023-01-01 14:20:00,2023-01-01 14:20:00,43.37348798866451,0
13,R037,V018,2023-01-01 08:00:00,2023-01-01 07:51:00,2023-01-01 15:22:00,2023-01-01 16:31:00,86.66356036835495,69
14,R044,V017,2023-01-01 09:00:00,2023-01-01 08:59:00,2023-01-01 14:24:00,2023-01-01 15:18:00,24.105322550683752,54
15,R014,V003,2023-01-01 04:00:00,2023-01-01 03:57:00,2023-01-01 09:20:00,2023-01-01 09:42:00,29.005760864389142,22
16,R017,V038,2023-01-01 10:00:00,2023-01-01 10:28:00,2023-01-01 18:51:00,2023-01-01 19:00:00,90.255157599926,9
17,R017,V013,2023-01-01 12:00:00,2023-01-01 12:04:00,2023-01-01 20:51:00,2023-01-01 21:22:00,86.67682022314587,31
